time,MSRD,error,N
0.0,0.0,0.0,46.0
1.0,0.0581188130708913,0.005563082788482186,46.0
2.0,0.1441114382262825,0.018300354265039707,46.0
3.0,0.20492718466795662,0.024385379493370198,46.0
4.0,0.21356836377671734,0.028528422851766513,46.0
5.0,0.24009599189686953,0.029519564365048268,46.0
6.0,0.2739994245287174,0.029767841451640877,46.0
7.0,0.3632798495416522,0.044302081719857125,46.0
8.0,0.4422079345900001,0.053846749144893395,46.0
9.0,0.5283773555586087,0.06455502666772525,46.0
10.0,0.5761298794888697,0.07360955715724961,46.0
11.0,0.6672227627605434,0.08821446016899603,46.0
12.0,0.6969301926140652,0.08661072844642337,46.0
13.0,0.7334298326458043,0.09297046095169811,46.0
14.0,0.8349528209534784,0.11545854318217784,46.0
15.0,0.9574861092002387,0.1378651207394968,46.0
16.0,0.9863040928188257,0.14919807457494766,46.0
17.0,1.1867037659873259,0.16065861970356324,46.0
18.0,1.1689788260388914,0.13893929666153412,46.0
19.0,1.1912616377072605,0.1300108818210918,46.0
20.0,1.2185388493121743,0.1384719913375683,45.99999999999999
21.0,1.2599614863991955,0.13544230185366757,46.0
22.0,1.3775049379029785,0.15089362737929982,46.0
23.0,1.3873926418387827,0.15124582288933047,46.0
24.0,1.4287964957681742,0.14459798003334284,46.0
25.0,1.4402360469453261,0.14763049676642223,46.0
26.0,1.4623160176247612,0.14923235478517186,46.0
27.0,1.5383936879592393,0.16321190287809853,46.0
28.0,1.5576272083078044,0.17714538906428517,46.0
29.0,1.6920278263653912,0.19494796435948855,46.0
30.0,1.7308275812420437,0.19677376565284782,46.0
31.0,1.759188521031783,0.20990623363571176,46.0
32.0,1.8474374651725218,0.22332659622029158,46.0
33.0,2.0156392065276307,0.2281815558183344,46.0
34.0,2.0019001061911514,0.24283350577841925,46.0
35.0,2.266747127136631,0.2788160757134984,45.99999999999999
36.0,2.221085179199848,0.2506498550727551,46.00000000000001
37.0,2.311862033826087,0.260326987890944,46.0
38.0,2.347058810391652,0.28244327785184026,46.0
39.0,2.3959636946621092,0.3134808277200166,46.0
40.0,2.455527068549935,0.3346727327505025,46.0
41.0,2.6344923390738257,0.3807242247831406,46.0
42.0,2.630351471132608,0.3637360994219702,46.0
43.0,2.623141870921218,0.3507828159170252,46.0
44.0,2.6777370844000883,0.340630861322271,46.0
45.0,2.7890182028291073,0.3543903658605054,46.0
46.0,2.718077751026066,0.35753592594046296,46.0
47.0,2.877287243551608,0.4077893089419636,46.0
48.0,2.9285019000433485,0.4107782441411132,46.0
49.0,2.968087703329761,0.4130860995584972,46.0
50.0,3.1899534853168476,0.4344776254435627,46.0
51.0,3.2704248412983468,0.4139398959221662,46.0
52.0,3.3957825849440213,0.4280440698599591,46.0
53.0,3.360452494838195,0.38509297389213143,46.0
54.0,3.321559496156543,0.4015547913133704,46.0
55.0,3.1947635666379135,0.3950531360138689,46.0
56.0,3.224120853836066,0.38965109474981036,46.0
57.0,3.305756285468392,0.3921303284933659,46.0
58.0,3.4071314665768044,0.4020547519218617,46.0
59.0,3.5199080964464353,0.40249463588362994,46.0
