time diff,values,error
0.0,1.0,0.01367814871655702
1.0,0.49735491830631784,0.010530054171883343
2.0,-0.012007494510752269,0.00943094869164443
3.0,-0.004805566030532333,0.009691530902144361
4.0,0.010637411199179839,0.009595083716809519
5.0,0.005049243893365597,0.009712869052164346
6.0,-0.008095248316578109,0.009772701586459955
7.0,-0.019494605852030878,0.009749294011434604
8.0,-0.01908375894758254,0.010005521025763986
9.0,-0.0007835928922490427,0.009955956526228929
10.0,0.0058043473766958495,0.00997592469081559
11.0,-0.0016058215701061321,0.010023997163499911
12.0,-0.008041541265667425,0.010478609386112376
13.0,-0.01194738194236854,0.010626844398330034
14.0,-0.011611460010040743,0.010533713588005238
15.0,-0.004405018119863944,0.010511363223561497
16.0,0.0043893894007469144,0.011072170201869428
17.0,0.00812789434650291,0.010940381606189079
18.0,0.012524780719144743,0.01116909744784375
19.0,0.014660043356899539,0.01135115982232978
20.0,0.00926460031248362,0.011610906889169617
21.0,-0.0027791572609122575,0.011710775624549483
22.0,0.007985027327426342,0.01197810383426489
23.0,0.03783145359775048,0.012218149335234303
24.0,0.0207733440106023,0.011979165322309434
25.0,-0.018146240210665947,0.011998926681301252
26.0,-0.007832227543994414,0.012597157315161155
27.0,0.021049425759367038,0.012651906867126103
28.0,0.02313501562712518,0.012552781412062532
29.0,0.0019215646168458734,0.012914054769062816
30.0,-0.0025838694759257866,0.013434421133796294
31.0,0.01994139134718832,0.01383681124096831
32.0,0.023890814070921956,0.013949952388353426
33.0,0.0034030203531007475,0.014063332095618107
34.0,-0.010233180789179678,0.01414655065239221
35.0,-0.001236776656981696,0.01497210084724401
36.0,0.004768636640699193,0.015491321521035436
37.0,-0.011166899604404295,0.015636923443868432
38.0,-0.027386983839953034,0.014877387928813983
39.0,-0.041552735964460956,0.01523368234964887
40.0,-0.03063121836314063,0.01598112753331156
41.0,0.02140773325959052,0.016235874063572454
42.0,0.028482361473662277,0.01687810984707016
43.0,0.005132633354752501,0.01743997546521726
44.0,-0.009021234491279492,0.01786280976483032
45.0,-0.039248007949210996,0.01902428557078714
46.0,-0.056759447706075314,0.01935733529261799
47.0,-0.0371724298962169,0.01984082114053929
48.0,0.02289793142145575,0.019831550624268206
49.0,0.05163676057191941,0.021512027567856015
50.0,0.012025291321750477,0.024204600721397906
51.0,-0.0026855477368643945,0.02416116794509864
52.0,0.024651789759823354,0.025122845693935605
53.0,0.008693324963299434,0.027886964363863013
54.0,-0.03549281720511181,0.029864294150004307
55.0,-0.038575917893965694,0.03452016938229035
56.0,-0.029045866125415355,0.03876706454391903
57.0,-0.0007734419301053819,0.042471757114226724
58.0,0.0037765762634101832,0.0588613025939635
59.0,-0.08266107520656318,0.12747859310405424
