time,MSRD,error,N
0.0,0.0,0.0,46.0
1.0,4.2570486956522116e-07,4.172158054962062e-08,46.0
2.0,9.801193260869773e-07,9.997330995682235e-08,46.0
3.0,1.3574558695653308e-06,1.6424366389159699e-07,46.0
4.0,1.839051695652243e-06,2.226934696014292e-07,46.0
5.0,2.0632758913042505e-06,1.9895796443863183e-07,46.0
6.0,2.7197618260870856e-06,2.279790102051875e-07,46.0
7.0,2.8949543913042983e-06,3.113050301084981e-07,46.0
8.0,2.9810633695651096e-06,3.1386025932725157e-07,46.0
9.0,3.2742693043478313e-06,3.9264650299298427e-07,46.0
10.0,3.734681239130354e-06,4.3805298626782214e-07,46.0
11.0,4.190712565217435e-06,5.562464012861744e-07,46.0
12.0,4.654797804348014e-06,6.216736544972385e-07,46.0
13.0,5.238833000000067e-06,6.398796614143318e-07,46.0
14.0,5.333969608695718e-06,6.89116109125279e-07,46.0
15.0,5.077713021738806e-06,7.025599490255214e-07,46.0
16.0,5.831520739130586e-06,7.137229193601804e-07,46.0
17.0,6.229519391304525e-06,7.213262649308284e-07,46.0
18.0,6.397564847826021e-06,7.316022669837619e-07,46.0
19.0,6.984428934782523e-06,7.849341405071434e-07,46.0
20.0,7.092976478260831e-06,7.318311488514908e-07,46.0
21.0,6.7958064782608084e-06,7.197169834125213e-07,46.0
22.0,7.0785073695653835e-06,8.1220605780115e-07,46.0
23.0,6.743714543478462e-06,9.447877589201914e-07,46.0
24.0,8.094604000000084e-06,1.1162839581100667e-06,46.0
25.0,8.560943521738877e-06,1.2415253344610319e-06,46.0
26.0,9.137148673913073e-06,1.247517838039122e-06,46.0
27.0,1.000690247826085e-05,1.2056327906991174e-06,46.0
28.0,1.0962859130434708e-05,1.3058389790226246e-06,46.0
29.0,1.091568232608682e-05,1.2793245044003153e-06,46.0
30.0,1.1420018304347459e-05,1.3950976333760595e-06,46.0
31.0,1.1616320826087177e-05,1.3998845800304937e-06,46.0
32.0,1.147198065217431e-05,1.4352077353928766e-06,46.0
33.0,1.1876483326086547e-05,1.529424936088911e-06,46.0
34.0,1.2896221173913226e-05,1.6659403264849386e-06,46.0
35.0,1.3366526673912905e-05,1.7891656043233835e-06,46.0
36.0,1.4232150956521843e-05,1.9593595027148154e-06,46.0
37.0,1.4590535717391567e-05,2.068512899611931e-06,46.0
38.0,1.467637232608707e-05,2.0255782661233177e-06,46.0
39.0,1.5326627369564863e-05,2.0048514997801004e-06,46.0
40.0,1.5954270130434995e-05,1.995854223710267e-06,46.0
41.0,1.617228717391326e-05,2.1364372091324304e-06,46.0
42.0,1.751295756521745e-05,1.9870851092094455e-06,46.0
43.0,1.8175789434782787e-05,2.265153189485863e-06,46.0
44.0,1.8929524521739015e-05,2.3718875458293953e-06,45.99999999999999
45.0,2.0107613304347946e-05,2.4561848395939565e-06,46.0
46.0,2.040970176086963e-05,2.325776433995135e-06,46.0
47.0,2.0650761239130254e-05,2.2930103888693433e-06,46.0
48.0,2.2014866826086685e-05,2.532946962825235e-06,46.0
49.0,2.201805752173901e-05,2.5999726743202745e-06,46.0
50.0,2.1909801478260468e-05,2.662159445062993e-06,46.0
51.0,2.279329193478298e-05,2.6532482276823392e-06,46.0
52.0,2.307904591304415e-05,2.6839188069265372e-06,46.0
53.0,2.3894101826087145e-05,2.6852058536594284e-06,46.0
54.0,2.4233037760869562e-05,2.314140560894212e-06,46.0
55.0,2.5160994978260342e-05,2.431871533832054e-06,46.0
56.0,2.674141200000003e-05,2.58863091736773e-06,46.0
57.0,2.8252292347825666e-05,2.798763472796804e-06,46.0
58.0,2.9429522043477314e-05,2.9920123472074925e-06,46.0
59.0,3.087027219565136e-05,3.13786942009466e-06,46.0
