time,MSRD,error,N
0.0,0.0,0.0,46.0
1.0,4.5092593478255383e-07,5.305458487835459e-08,46.0
2.0,9.119519130434247e-07,9.706534568258035e-08,46.0
3.0,1.5354409782607652e-06,1.51620138770565e-07,46.0
4.0,2.1834374347827217e-06,2.401612326530465e-07,46.0
5.0,2.600741391304315e-06,2.661122019250564e-07,46.0
6.0,3.167900891304439e-06,2.898516170444744e-07,46.0
7.0,4.102780717391179e-06,4.1716025773142755e-07,46.0
8.0,4.795965695652128e-06,5.675240010888737e-07,46.0
9.0,5.322790608695816e-06,5.896370036881351e-07,46.0
10.0,5.981086434782645e-06,5.800191346249789e-07,46.0
11.0,6.286392760869957e-06,7.163262458240038e-07,46.0
12.0,6.6266293913043675e-06,7.224964156874266e-07,46.0
13.0,7.143598804347477e-06,7.978889172620138e-07,46.0
14.0,6.834580347825794e-06,7.752574139998553e-07,46.0
15.0,7.917618956521908e-06,8.707655472622423e-07,45.99999999999999
16.0,8.091960543478103e-06,8.930682270713491e-07,46.0
17.0,8.560434934782532e-06,9.54998654740621e-07,46.0
18.0,9.430075804347653e-06,1.0436125600468361e-06,46.0
19.0,1.050139791304322e-05,1.0950906826684991e-06,46.0
20.0,1.0492669152173678e-05,1.1106949826857094e-06,46.0
21.0,1.0608471195651886e-05,1.1677913533318677e-06,46.0
22.0,1.1796794673912788e-05,1.3489936083734014e-06,46.0
23.0,1.2454732695652071e-05,1.4517884734460442e-06,46.0
24.0,1.2915929717391233e-05,1.525247052008013e-06,46.0
25.0,1.2323617543478206e-05,1.4874581541678025e-06,46.0
26.0,1.3162861086956555e-05,1.5510713294898168e-06,46.0
27.0,1.3548509239130302e-05,1.6050002919724804e-06,46.0
28.0,1.3784001282608302e-05,1.6214655206082094e-06,46.0
29.0,1.4002215999999412e-05,1.6432424930373369e-06,46.0
30.0,1.4427341391304695e-05,1.765148967850207e-06,46.0
31.0,1.4125597608695814e-05,1.7249393999678822e-06,46.0
32.0,1.445097330434872e-05,1.6963236245206647e-06,46.0
33.0,1.5178446739130761e-05,1.7480695219085903e-06,46.0
34.0,1.598795419565185e-05,1.9279682870142846e-06,46.0
35.0,1.628396634782581e-05,1.961509175716201e-06,46.0
36.0,1.5380850695651585e-05,1.8863271584666153e-06,46.0
37.0,1.627440428260848e-05,1.9006915925110032e-06,46.0
38.0,1.7048013934782717e-05,1.9171327925927106e-06,45.99999999999999
39.0,1.727041845652216e-05,1.9290584482482183e-06,46.0
40.0,1.7698264217391054e-05,2.0530170015487874e-06,46.0
41.0,1.8778659369565657e-05,2.1271157221811024e-06,46.00000000000001
42.0,1.8679388478262026e-05,1.9987978673273857e-06,46.0
43.0,1.9878658978260826e-05,2.117823484053353e-06,46.0
44.0,2.0941510391304312e-05,2.379601335456877e-06,45.99999999999999
45.0,2.051132702173912e-05,2.310344044528662e-06,46.0
46.0,2.0046699304347886e-05,2.1099381460218395e-06,46.0
47.0,2.0924639760869323e-05,2.2642517276104655e-06,46.0
48.0,2.1098300130434533e-05,2.3715349017136184e-06,46.0
49.0,2.21947833478264e-05,2.4978899092662245e-06,46.0
50.0,2.202126291304311e-05,2.2762537487249413e-06,46.0
51.0,2.164676171739144e-05,2.2000179588279178e-06,46.0
52.0,2.1417127804348883e-05,2.161837429586671e-06,46.0
53.0,2.1796355195651787e-05,2.171713556329841e-06,46.0
54.0,2.2882501565217072e-05,2.356453568457208e-06,46.0
55.0,2.260479169565281e-05,2.186255751043876e-06,46.0
56.0,2.38504142173909e-05,2.3675136867275425e-06,46.0
57.0,2.520044552174048e-05,2.5962159435425836e-06,46.0
58.0,2.5280946282608196e-05,2.6741068159004754e-06,46.0
59.0,2.5721912782608588e-05,2.6920413446227067e-06,46.0
