time,MSRD,error,N
0.0,0.0,0.0,46.00000000000001
1.0,4.808642608695638e-07,4.103564361340523e-08,46.00000000000001
2.0,1.0977625652175286e-06,1.1196582163311526e-07,46.0
3.0,1.6502016739131442e-06,1.788883652008025e-07,46.0
4.0,2.303368021739364e-06,2.6427167675789476e-07,46.0
5.0,3.046330565217345e-06,3.7259666200341725e-07,46.0
6.0,3.7177357173913985e-06,4.650375571303584e-07,46.0
7.0,4.680875065217506e-06,5.554269164180601e-07,46.0
8.0,4.67914521739123e-06,5.296590911106686e-07,46.0
9.0,5.1826648695653054e-06,5.976271906950004e-07,46.0
10.0,5.478649913043826e-06,7.165869731719329e-07,46.0
11.0,6.231947869565657e-06,9.10768204268222e-07,46.0
12.0,7.027825086956194e-06,1.0188555758570216e-06,46.0
13.0,8.072896152173912e-06,1.1529863942519237e-06,46.0
14.0,8.565554369565678e-06,1.2415324904450337e-06,46.0
15.0,9.187618782608486e-06,1.1964417778913193e-06,46.0
16.0,9.677100695652165e-06,1.3171554116477812e-06,46.0
17.0,1.0318245217391614e-05,1.3767913288509246e-06,46.0
18.0,1.0870751152173355e-05,1.5346698217084027e-06,46.0
19.0,1.1650149152173578e-05,1.605437157463227e-06,46.0
20.0,1.2541717347825747e-05,1.5350265067173996e-06,46.0
21.0,1.212193489130447e-05,1.5294048352016478e-06,46.0
22.0,1.2496498239130031e-05,1.7338346861162513e-06,46.0
23.0,1.3378410913043014e-05,1.8819292190533679e-06,46.0
24.0,1.3466230043478181e-05,1.7658830803274404e-06,46.0
25.0,1.4098897739130655e-05,1.8238716871102084e-06,46.0
26.0,1.5428855456522326e-05,1.9618714317095146e-06,46.0
27.0,1.5590335043478355e-05,2.0644110960794027e-06,46.0
28.0,1.5218683108695709e-05,1.953812628415701e-06,46.0
29.0,1.5531109934782595e-05,1.9541520820422723e-06,45.99999999999999
30.0,1.5592829065217444e-05,1.9395241000732425e-06,46.0
31.0,1.5738036326087514e-05,1.952873818109134e-06,46.0
32.0,1.5279069760869682e-05,1.9396895331974966e-06,46.0
33.0,1.6578312000000274e-05,2.155804885519158e-06,46.0
34.0,1.597426547826121e-05,2.019773193336857e-06,46.0
35.0,1.556709950000031e-05,1.970126089003466e-06,46.0
36.0,1.575527900000046e-05,1.9370141100481208e-06,46.00000000000001
37.0,1.7248926326086785e-05,2.1873907897182928e-06,46.0
38.0,1.7567877130434934e-05,2.178184005474807e-06,46.0
39.0,1.722446345652173e-05,2.0556433187558232e-06,46.0
40.0,1.8229141456521614e-05,2.263452612089498e-06,46.00000000000001
41.0,1.894504399999857e-05,2.2446745187290522e-06,46.0
42.0,1.9041594043478036e-05,2.2325708201665754e-06,46.0
43.0,1.9814238130436038e-05,2.2577414993232543e-06,45.99999999999999
44.0,2.0910017065217425e-05,2.3807603220704384e-06,46.0
45.0,2.2177554913043038e-05,2.7119791352851196e-06,46.0
46.0,2.327736395652149e-05,2.9039571235429283e-06,46.0
47.0,2.2646008413044566e-05,3.0052196827066983e-06,46.0
48.0,2.297176726086935e-05,3.0976740045626714e-06,46.0
49.0,2.328864217391247e-05,3.1602825348899225e-06,46.0
50.0,2.503527491304253e-05,3.3680612536291646e-06,46.0
51.0,2.6165801695653044e-05,3.525972523746824e-06,46.0
52.0,2.6695176413044137e-05,3.382681495161281e-06,46.0
53.0,2.8198073543478853e-05,3.741637497345876e-06,46.0
54.0,2.9440195521739013e-05,3.975735629790391e-06,46.0
55.0,3.059930463043376e-05,4.239300339428144e-06,46.00000000000001
56.0,2.9357231934782913e-05,4.332685257815473e-06,46.0
57.0,3.0454655021739418e-05,4.5088334266043706e-06,46.0
58.0,3.0031991282608757e-05,4.283234674230623e-06,46.0
59.0,3.088677660869497e-05,4.367812168208212e-06,46.0
