time,MSRD,error,N
0.0,0.0,0.0,46.0
1.0,5.108303043477637e-07,5.290757817020017e-08,46.0
2.0,1.1002061739132014e-06,1.0836106253771776e-07,46.0
3.0,1.6969988043478279e-06,2.0454684961646417e-07,46.0
4.0,2.344795565217338e-06,2.678891933061237e-07,46.0
5.0,2.686828934782751e-06,3.419240319391647e-07,46.0
6.0,3.524995652173909e-06,4.408246603917335e-07,46.0
7.0,4.067848347825967e-06,3.8770946996817666e-07,46.0
8.0,4.1639664347824825e-06,4.322665779469426e-07,46.0
9.0,5.015912282608671e-06,4.855156930664955e-07,46.0
10.0,5.176105260869294e-06,5.460511362776502e-07,46.0
11.0,6.111119608695897e-06,6.442276785089158e-07,46.0
12.0,6.730403826086954e-06,6.529202093246472e-07,46.0
13.0,6.9643304782607305e-06,6.883276062327539e-07,46.0
14.0,7.224809869565407e-06,6.882637124571575e-07,46.0
15.0,7.1989846086960765e-06,7.06881792491388e-07,46.0
16.0,7.448385021739499e-06,7.963291319752977e-07,46.0
17.0,8.406256673913078e-06,9.122473578506578e-07,46.0
18.0,8.16100217391297e-06,9.709959227817345e-07,46.0
19.0,9.408265478260845e-06,1.1660386338485834e-06,45.99999999999999
20.0,1.0393244847825939e-05,1.2092277969829612e-06,46.0
21.0,1.0478073282608618e-05,1.1643429340632165e-06,45.99999999999999
22.0,1.0852385065217236e-05,1.2273703611302288e-06,46.0
23.0,1.150648954347839e-05,1.3339313857628422e-06,46.0
24.0,1.1870139478260869e-05,1.350589585949724e-06,46.0
25.0,1.1671086978260715e-05,1.2937256749623789e-06,46.0
26.0,1.2432722456521604e-05,1.4058315419598318e-06,46.0
27.0,1.3079161695652125e-05,1.379155224603834e-06,46.0
28.0,1.3148780195652063e-05,1.3850706455989791e-06,46.0
29.0,1.3177300434782491e-05,1.375672533910996e-06,46.0
30.0,1.3473227673913105e-05,1.4910431030645547e-06,46.0
31.0,1.4538173282608608e-05,1.6193910952081307e-06,46.0
32.0,1.4921268391304286e-05,1.7383407138377263e-06,46.0
33.0,1.574511971739153e-05,1.8521147860772148e-06,46.0
34.0,1.6027365347825527e-05,1.8358171718717561e-06,45.99999999999999
35.0,1.6423366217391317e-05,1.8961706277221297e-06,45.99999999999999
36.0,1.69182636086959e-05,2.1260518989875257e-06,46.0
37.0,1.717171330434794e-05,2.092918964387983e-06,45.99999999999999
38.0,1.769640395652125e-05,2.098370958044453e-06,46.00000000000001
39.0,1.8174293173912484e-05,2.2215095910324096e-06,46.0
40.0,1.810872756521717e-05,2.147756362535038e-06,46.0
41.0,1.890141184782607e-05,2.223930180692401e-06,46.0
42.0,1.8679150826086828e-05,2.2387730932096557e-06,46.0
43.0,1.882748773913041e-05,2.2466647850982318e-06,46.0
44.0,1.9699206717392196e-05,2.520679808833731e-06,46.0
45.0,2.022716271739076e-05,2.641022994753207e-06,46.0
46.0,2.235099247826112e-05,2.8172724132646303e-06,46.0
47.0,2.317475397826127e-05,2.902273332628112e-06,46.0
48.0,2.410390313043425e-05,3.130482164268752e-06,46.0
49.0,2.5483717543478302e-05,3.284713531461118e-06,46.0
50.0,2.572451665217302e-05,3.2701243244067816e-06,46.0
51.0,2.5754339760869742e-05,3.3850677739428585e-06,46.0
52.0,2.599333817391311e-05,3.4022076304802924e-06,46.0
53.0,2.5682573478260775e-05,3.3608679742519253e-06,46.0
54.0,2.680168108695667e-05,3.41117181083451e-06,46.0
55.0,2.647701604347843e-05,3.2892690463838115e-06,46.0
56.0,2.827266228260917e-05,3.616521030248103e-06,46.0
57.0,2.7698954956520393e-05,3.586930750034305e-06,46.0
58.0,2.8026315152173617e-05,3.7515208208546826e-06,46.0
59.0,2.7961051369565362e-05,3.786093119465795e-06,46.0
