distance,values,error
0.0,1.0,0.08344040921781683
1.0,-0.015133552429646408,0.03014460397834308
2.0,-0.014559964074693772,0.021676673306472306
3.0,-0.013815340822794255,0.023919649343323104
4.0,-0.023306321800613376,0.030771995413751974
5.0,-0.0082318436854404,0.10365778206114062
