time diff,values,error
0.0,1.0,6.675554278161838e-05
1.0,1.00000436866034,5.810132346389726e-05
2.0,0.9999997300532503,4.786651423903776e-05
3.0,1.0000041010177196,4.845475654250488e-05
4.0,1.0000131776070884,4.8915601303068625e-05
5.0,1.0000153482007412,4.9522779851232715e-05
6.0,1.0000242273748696,4.968123363104819e-05
7.0,1.0000287041597382,4.949817723742471e-05
8.0,1.0000185808045319,5.0052012121113406e-05
9.0,1.0000098125582026,5.0130919148771095e-05
10.0,1.0000013988711736,5.039723802131434e-05
11.0,1.0000019808392722,5.131542733694023e-05
12.0,1.0000209364119845,5.1617308688825075e-05
13.0,1.0000303393271834,5.212165149941542e-05
14.0,1.0000243118421195,5.377408699191251e-05
15.0,1.0000195418476117,5.505816529814539e-05
16.0,1.0000244675638899,5.540708385347369e-05
17.0,1.000024799577436,5.540173333707173e-05
18.0,1.0000215346321983,5.648167297237807e-05
19.0,1.0000294160001753,5.75886389656167e-05
20.0,1.0000283767675993,5.7567827223153e-05
21.0,1.0000209239831483,5.786395107941468e-05
22.0,1.0000234396646983,5.954163446208893e-05
23.0,1.0000332716075233,6.0429396757984865e-05
24.0,1.0000312755473817,5.9770385126043726e-05
25.0,1.0000147258890035,6.0023702970156265e-05
26.0,0.9999957876934049,6.148077884958675e-05
27.0,0.9999785179154006,6.290948176036605e-05
28.0,0.999976991101947,6.428252871119076e-05
29.0,0.9999878190620932,6.65139455716678e-05
30.0,0.9999870059115082,6.846096400991996e-05
31.0,0.9999863568080947,6.977521104052523e-05
32.0,0.9999989659964157,7.045407144406186e-05
33.0,0.9999978546014652,7.07597216001253e-05
34.0,0.9999756401248049,7.253687730695641e-05
35.0,0.9999480550715724,7.42826710608815e-05
36.0,0.9999208572850836,7.597924138141e-05
37.0,0.9999135374284294,7.823364001278125e-05
38.0,0.9999249802286125,8.110866551145795e-05
39.0,0.9999244828371785,8.339813843022094e-05
40.0,0.9999051083991687,8.275646799250181e-05
41.0,0.999896951711811,8.373265798398031e-05
42.0,0.9999076845699403,8.734046608580247e-05
43.0,0.9998922238072361,8.931931214492075e-05
44.0,0.999885119545007,9.061233609307028e-05
45.0,0.9998909663211977,9.362183580614333e-05
46.0,0.9998652142199963,9.655747923059019e-05
47.0,0.9998295943584129,9.931588299699438e-05
48.0,0.9998501388544137,0.00010419229314181146
49.0,0.9999194678688634,0.00011148402193994765
50.0,0.9999143140209078,0.00011795125560722169
51.0,0.9998574880097029,0.00012586260075475602
52.0,0.999782209698609,0.00013709890352571965
53.0,0.9996728908042399,0.00015225413435045917
54.0,0.9996549206768326,0.00016147392413761992
55.0,0.9996786457017092,0.00017635927361808518
56.0,0.9996241732650716,0.0001989946027963062
57.0,0.9996682395735718,0.00022386451728348408
58.0,0.9996288377241789,0.00027964248705682036
59.0,0.9993567200452035,0.00045620140041724287
